ExperimentDate,ExperimentTime,ExperimentTimeFraction,timeStamp,experimentId,activityTypeId,subjectId,deviceId,x,y,z,aX,aY,aZ,qW,qX,qY,qZ,lat,lon,speed,tag,alt,incl,counter
4/20/2017 12:00:00 AM,23:16:27,975500900,4/20/2017 11:16:26 PM -06:00,32,1,b65eb234-3a7a-4706-8c9c-8ae6d27179ae,Sensorkit10101Illumiski,-165.66291809082,-3.84447574615479,-165.66291809082,0,0,0,0,0,0,0,40.5824699401855,-111.653617858887,0.0686653628945351,Rightfoot,2519,0,5645950
4/20/2017 12:00:00 AM,23:16:27,10516200,4/20/2017 11:16:27 PM -06:00,32,1,b65eb234-3a7a-4706-8c9c-8ae6d27179ae,Sensorkit10161Illumiski,-165.874908447266,-5.40891551971436,-165.874908447266,0,0,0,0,0,0,0,40.5824699401855,-111.653617858887,0.0686653628945351,Leftfoot,2519,0,5645952
4/20/2017 12:00:00 AM,23:16:27,13001600,4/20/2017 11:16:27 PM -06:00,32,1,b65eb234-3a7a-4706-8c9c-8ae6d27179ae,Sensorkit10101Illumiski,-165.648620605469,-3.76447415351868,-165.648620605469,0,0,0,0,0,0,0,40.5824699401855,-111.653617858887,0.0686653628945351,Rightfoot,2519,0,5645953
4/20/2017 12:00:00 AM,23:16:27,47951200,4/20/2017 11:16:27 PM -06:00,32,1,b65eb234-3a7a-4706-8c9c-8ae6d27179ae,Sensorkit10161Illumiski,-165.894256591797,-5.95908308029175,-165.894256591797,0,0,0,0,0,0,0,40.5824699401855,-111.653617858887,0.0686653628945351,Leftfoot,2519,0,5645954
4/20/2017 12:00:00 AM,23:16:27,50451200,4/20/2017 11:16:27 PM -06:00,32,1,b65eb234-3a7a-4706-8c9c-8ae6d27179ae,Sensorkit10101Illumiski,-165.724990844727,-3.67011070251465,-165.724990844727,0,0,0,0,0,0,0,40.5824699401855,-111.653617858887,0.0686653628945351,Rightfoot,2519,0,5645955
4/20/2017 12:00:00 AM,23:16:27,85525000,4/20/2017 11:16:27 PM -06:00,32,1,b65eb234-3a7a-4706-8c9c-8ae6d27179ae,Sensorkit10161Illumiski,-165.766525268555,-5.4504189491272,-165.766525268555,0,0,0,0,0,0,0,40.5824699401855,-111.653617858887,0.0686653628945351,Leftfoot,2519,0,5645956
4/20/2017 12:00:00 AM,23:16:27,89007000,4/20/2017 11:16:27 PM -06:00,32,1,b65eb234-3a7a-4706-8c9c-8ae6d27179ae,Sensorkit10101Illumiski,-165.603530883789,-3.85348081588745,-165.603530883789,0,0,0,0,0,0,0,40.5824699401855,-111.653617858887,0.0686653628945351,Rightfoot,2519,0,5645957
4/20/2017 12:00:00 AM,23:16:27,124510500,4/20/2017 11:16:27 PM -06:00,32,1,b65eb234-3a7a-4706-8c9c-8ae6d27179ae,Sensorkit10161Illumiski,-165.707626342773,-5.38762092590332,-165.707626342773,0,0,0,0,0,0,0,40.5824699401855,-111.653617858887,0.0686653628945351,Leftfoot,2519,0,5645962
4/20/2017 12:00:00 AM,23:16:27,126014800,4/20/2017 11:16:27 PM -06:00,32,1,b65eb234-3a7a-4706-8c9c-8ae6d27179ae,Sensorkit10101Illumiski,-165.634521484375,-3.60090899467468,-165.634521484375,0,0,0,0,0,0,0,40.5824699401855,-111.653617858887,0.0686653628945351,Rightfoot,2519,0,5645963
4/20/2017 12:00:00 AM,23:16:27,160603500,4/20/2017 11:16:27 PM -06:00,32,1,b65eb234-3a7a-4706-8c9c-8ae6d27179ae,Sensorkit10161Illumiski,-165.940216064453,-5.75230312347412,-165.940216064453,0,0,0,0,0,0,0,40.5824699401855,-111.653617858887,0.0686653628945351,Leftfoot,2519,0,5645964
4/20/2017 12:00:00 AM,23:16:27,163088200,4/20/2017 11:16:27 PM -06:00,32,1,b65eb234-3a7a-4706-8c9c-8ae6d27179ae,Sensorkit10101Illumiski,-165.657028198242,-3.68125462532043,-165.657028198242,0,0,0,0,0,0,0,40.5824699401855,-111.653617858887,0.0686653628945351,Rightfoot,2519,0,5645965
4/20/2017 12:00:00 AM,23:16:27,198086500,4/20/2017 11:16:27 PM -06:00,32,1,b65eb234-3a7a-4706-8c9c-8ae6d27179ae,Sensorkit10161Illumiski,-165.769058227539,-5.7087082862854,-165.769058227539,0,0,0,0,0,0,0,40.5824699401855,-111.653617858887,0.0686653628945351,Leftfoot,2519,0,5645968
4/20/2017 12:00:00 AM,23:16:27,200587500,4/20/2017 11:16:27 PM -06:00,32,1,b65eb234-3a7a-4706-8c9c-8ae6d27179ae,Sensorkit10101Illumiski,-165.561874389648,-3.92069268226624,-165.561874389648,0,0,0,0,0,0,0,40.5824699401855,-111.653617858887,0.0686653628945351,Rightfoot,2519,0,5645969
4/20/2017 12:00:00 AM,23:16:27,237090100,4/20/2017 11:16:27 PM -06:00,32,1,b65eb234-3a7a-4706-8c9c-8ae6d27179ae,Sensorkit10161Illumiski,-165.670516967773,-5.79676055908203,-165.670516967773,0,0,0,0,0,0,0,40.5824699401855,-111.653617858887,0.0686653628945351,Leftfoot,2519,0,5645972
